%time,field
1659826987469470024,0.0773322582245
1659826987532918930,0.0595760345459
1659826987593724966,0.0581555366516
1659826987646332025,0.0497169494629
1659826987699018001,0.0499737262726
1659826987751929998,0.0494060516357
1659826987804222106,0.0495097637177
1659826987865703105,0.0499608516693
1659826987925895929,0.0503544807434
1659826987985707998,0.0496108531952
1659826988045960903,0.0496833324432
1659826988106175899,0.0500540733337
1659826988166599035,0.0502152442932
1659826988226521968,0.0501897335052
1659826988285737991,0.0498504638672
1659826988345489978,0.049446105957
1659826988406575918,0.0500383377075
1659826988466123104,0.0499818325043
1659826988526015043,0.0501074790955
1659826988586128950,0.0499887466431
1659826988645739078,0.0497162342072
1659826988705868005,0.049831867218
1659826988766477108,0.0504949092865
1659826988826838970,0.0503764152527
1659826988886782884,0.0502860546112
1659826988946659088,0.0498838424683
1659826989007909059,0.0510575771332
1659826989066787004,0.0501260757446
1659826989127249002,0.0501205921173
1659826989186880111,0.0498733520508
1659826989247127056,0.0499894618988
1659826989307614088,0.0504012107849
1659826989366950988,0.0497426986694
1659826989427062034,0.0498747825623
1659826989487278938,0.0500333309174
1659826989547502994,0.050044298172
1659826989607881069,0.0504593849182
1659826989667510032,0.0500438213348
1659826989727889060,0.0503880977631
1659826989787708044,0.0499653816223
1659826989847697019,0.0499286651611
1659826989907979011,0.0502650737762
1659826989967581987,0.0499815940857
1659826990027502059,0.0500133037567
1659826990087445974,0.0500388145447
1659826990147497892,0.0500271320343
1659826990207561016,0.0501761436462
1659826990267363071,0.0501999855042
1659826990328075885,0.0507817268372
1659826990387665987,0.0504071712494
1659826990447552919,0.0503039360046
1659826990507409095,0.0501592159271
1659826990567536115,0.0503823757172
1659826990627610921,0.0502209663391
1659826990687622070,0.0502777099609
1659826990747711896,0.0502717494965
1659826990807676076,0.0500814914703
1659826990867542982,0.0498986244202
1659826990927968978,0.0500428676605
1659826990987767934,0.0500817298889
1659826991047578096,0.0499122142792
1659826991107031106,0.0494363307953
1659826991167445898,0.0500121116638
1659826991226794004,0.0494251251221
1659826991286998987,0.0497941970825
1659826991347297906,0.0501384735107
1659826991407285928,0.0502092838287
1659826991467029094,0.0499086380005
1659826991527470111,0.0501978397369
1659826991587529897,0.050304889679
1659826991647111892,0.0500502586365
1659826991707135915,0.0499777793884
1659826991767396926,0.0502219200134
1659826991827224969,0.0498714447021
1659826991887775897,0.0502529144287
1659826991947637081,0.0502274036407
1659826992007507085,0.0500204563141
1659826992067816019,0.0502321720123
1659826992128082036,0.0503976345062
1659826992187628984,0.0499773025513
1659826992247674942,0.0501611232758
1659826992307687997,0.0499663352966
1659826992367623090,0.0501711368561
1659826992427469968,0.0499806404114
1659826992487191915,0.0497000217438
1659826992547203063,0.0495617389679
1659826992608052968,0.0505321025848
1659826992668237924,0.0506322383881
1659826992728615999,0.0507724285126
1659826992789675951,0.0504686832428
1659826992849020957,0.0503458976746
1659826992908838033,0.0502901077271
1659826992968959093,0.050452709198
1659826993028135061,0.0498688220978
1659826993088346958,0.0497894287109
1659826993148169040,0.050101518631
1659826993207856893,0.050125837326
1659826993267396926,0.0498230457306
1659826993327337980,0.0502717494965
1659826993386982917,0.0504515171051
1659826993446512937,0.0501277446747
1659826993506884098,0.0507118701935
1659826993566154956,0.0505275726318
1659826993626207113,0.0505752563477
1659826993685601949,0.0501306056976
1659826993746031999,0.0503194332123
1659826993805341005,0.0502331256866
1659826993865022897,0.0502169132233
1659826993924685955,0.0499632358551
