| resize | preprocess | backbone | rpn | roi+mlp | postprocess | read+tran image | inference+nms | predict+drawbox | end-to-end |
| 0.00032067298889160156 | 0.0023207664489746094 | 0.16379833221435547 | 0.05995631217956543 | 0.6238043308258057 | 0.0007212162017822266 | 0.03683137893676758 | 0.8522613048553467 | 0.041829824447631836 | 0.9309225082397461 | 113 | 6
| 0.00027251243591308594 | 0.003531932830810547 | 0.16734647750854492 | 0.06009793281555176 | 0.009964466094970703 | 0.0007021427154541016 | 0.03098464012145996 | 0.2436814308166504 | 0.007874488830566406 | 0.28254055976867676 | 21 | 1
| 0.0001766681671142578 | 0.0016789436340332031 | 0.17447161674499512 | 0.05909228324890137 | 0.009128093719482422 | 0.0007052421569824219 | 0.028146743774414062 | 0.24664068222045898 | 0.007905244827270508 | 0.28269267082214355 | 37 | 1
| 0.0002353191375732422 | 0.0017154216766357422 | 0.18097496032714844 | 0.06024050712585449 | 0.008821725845336914 | 0.0006196498870849609 | 0.02663731575012207 | 0.25405240058898926 | 0.01578664779663086 | 0.2964763641357422 | 21 | 2
| 0.00017499923706054688 | 0.0017681121826171875 | 0.1768488883972168 | 0.05940556526184082 | 0.00870823860168457 | 0.0007188320159912109 | 0.02605128288269043 | 0.2491312026977539 | 0.007835865020751953 | 0.2830183506011963 | 23 | 1
| 0.00016450881958007812 | 0.0017855167388916016 | 0.17254400253295898 | 0.05884599685668945 | 0.010784149169921875 | 0.0006105899810791016 | 0.0261993408203125 | 0.2462019920349121 | 0.014729976654052734 | 0.28713130950927734 | 89 | 2
| 0.0001785755157470703 | 0.0017685890197753906 | 0.1768646240234375 | 0.059129953384399414 | 0.01099538803100586 | 0.0006120204925537109 | 0.026173830032348633 | 0.25125670433044434 | 0.020706653594970703 | 0.29813718795776367 | 84 | 3
| 0.0001823902130126953 | 0.0018298625946044922 | 0.1746807098388672 | 0.059042930603027344 | 0.011774539947509766 | 0.0006437301635742188 | 0.0261075496673584 | 0.24952459335327148 | 0.020963668823242188 | 0.29659581184387207 | 98 | 3
| 0.00023674964904785156 | 0.0025730133056640625 | 0.1749284267425537 | 0.059270381927490234 | 0.01782679557800293 | 0.0006670951843261719 | 0.027797698974609375 | 0.2570927143096924 | 0.058733224868774414 | 0.34362363815307617 | 256 | 9
| 0.0002613067626953125 | 0.001725912094116211 | 0.17421817779541016 | 0.0590512752532959 | 0.01040029525756836 | 0.0006496906280517578 | 0.025788307189941406 | 0.24781179428100586 | 0.014733076095581055 | 0.2883331775665283 | 95 | 2
| 0.00020742416381835938 | 0.0017154216766357422 | 0.17751836776733398 | 0.05942344665527344 | 0.027411699295043945 | 0.0007116794586181641 | 0.026276111602783203 | 0.2686331272125244 | 0.07838702201843262 | 0.37329626083374023 | 440 | 12
| 0.00016164779663085938 | 0.0018455982208251953 | 0.17301559448242188 | 0.05951261520385742 | 0.021019935607910156 | 0.0006773471832275391 | 0.027446985244750977 | 0.25766539573669434 | 0.03350424766540527 | 0.3186166286468506 | 216 | 5
| 0.00017452239990234375 | 0.0016551017761230469 | 0.17257142066955566 | 0.061672210693359375 | 0.010199785232543945 | 0.0009570121765136719 | 0.026794910430908203 | 0.24870920181274414 | 0.017433643341064453 | 0.2929377555847168 | 51 | 2
| 0.00019168853759765625 | 0.002010345458984375 | 0.1725633144378662 | 0.0605616569519043 | 0.008977651596069336 | 0.0007410049438476562 | 0.02839040756225586 | 0.24643301963806152 | 0.008396625518798828 | 0.2832200527191162 | 15 | 1
| 0.00018405914306640625 | 0.002646923065185547 | 0.17255091667175293 | 0.05957746505737305 | 0.010699272155761719 | 0.0006346702575683594 | 0.02785515785217285 | 0.24776744842529297 | 0.008057832717895508 | 0.28368043899536133 | 81 | 1
| 0.00017261505126953125 | 0.0018305778503417969 | 0.1733095645904541 | 0.05953097343444824 | 0.018253326416015625 | 0.0006988048553466797 | 0.026379823684692383 | 0.2553079128265381 | 0.0674440860748291 | 0.34913182258605957 | 248 | 10
| 0.000171661376953125 | 0.0016510486602783203 | 0.17557334899902344 | 0.060529232025146484 | 0.011162281036376953 | 0.0007612705230712891 | 0.025469303131103516 | 0.2512705326080322 | 0.02787327766418457 | 0.3046131134033203 | 73 | 4
| 0.0001990795135498047 | 0.0018398761749267578 | 0.17426228523254395 | 0.06289005279541016 | 0.012398719787597656 | 0.0007464885711669922 | 0.026297569274902344 | 0.2535247802734375 | 0.020951032638549805 | 0.30077338218688965 | 100 | 3
| 0.0001652240753173828 | 0.0017986297607421875 | 0.17440485954284668 | 0.06110668182373047 | 0.016292095184326172 | 0.0007340908050537109 | 0.025249481201171875 | 0.25597095489501953 | 0.05617690086364746 | 0.33739733695983887 | 154 | 8
| 0.00017213821411132812 | 0.0017001628875732422 | 0.17667198181152344 | 0.06012606620788574 | 0.009355783462524414 | 0.0006999969482421875 | 0.02715134620666504 | 0.25031328201293945 | 0.02111339569091797 | 0.29857802391052246 | 22 | 3
| 0.00019693374633789062 | 0.0016727447509765625 | 0.17479634284973145 | 0.059386491775512695 | 0.008634805679321289 | 0.0006372928619384766 | 0.026401281356811523 | 0.24697184562683105 | 0.007965564727783203 | 0.2813386917114258 | 7 | 1
| 0.00020599365234375 | 0.0016264915466308594 | 0.17528748512268066 | 0.06235504150390625 | 0.020516633987426758 | 0.0006895065307617188 | 0.026209354400634766 | 0.26216602325439453 | 0.05261969566345215 | 0.34099507331848145 | 284 | 8
