using cuda:0 device.
| resize | preprocess | backbone | rpn | head | postprocess | read+tran image | inference+nms | predict+drawbox | end-to-end |
| 0.00016546249389648438 | 0.0016489028930664062 | 0.16104531288146973 | 0.06126880645751953 | 0.009566307067871094 | 0.0007457733154296875 | 0.026668310165405273 | 0.23612403869628906 | 0.010329484939575195 | 0.27312183380126953 |
No objects!
| 0.00016236305236816406 | 0.001703500747680664 | 0.1627061367034912 | 0.061475515365600586 | 0.008451700210571289 | 0.0005784034729003906 | 0.0250704288482666 | 0.23633193969726562 | 0.000278472900390625 | 0.26168084144592285 |
No objects!
| 0.00015807151794433594 | 0.0017080307006835938 | 0.16375041007995605 | 0.06149649620056152 | 0.008404016494750977 | 0.0005915164947509766 | 0.020548343658447266 | 0.23727965354919434 | 0.000225067138671875 | 0.2580530643463135 |
No objects!
| 0.00016617774963378906 | 0.0021409988403320312 | 0.16343903541564941 | 0.06115293502807617 | 0.007909774780273438 | 0.0005018711090087891 | 0.023419618606567383 | 0.23644661903381348 | 0.000232696533203125 | 0.260098934173584 |
No objects!
| 0.00021028518676757812 | 0.0019981861114501953 | 0.16278505325317383 | 0.06113934516906738 | 0.007781028747558594 | 0.0005080699920654297 | 0.024474143981933594 | 0.23566269874572754 | 0.0002288818359375 | 0.26036572456359863 |
| 0.00026702880859375 | 0.002251148223876953 | 0.16247057914733887 | 0.06085515022277832 | 0.009291887283325195 | 0.0007488727569580078 | 0.023704051971435547 | 0.23704934120178223 | 0.00042438507080078125 | 0.26117777824401855 |
| 0.0001595020294189453 | 0.0020313262939453125 | 0.1633739471435547 | 0.06124258041381836 | 0.009050130844116211 | 0.0007276535034179688 | 0.02328944206237793 | 0.23787164688110352 | 0.00038623809814453125 | 0.261547327041626 |
No objects!
| 0.0001766681671142578 | 0.0025110244750976562 | 0.16283822059631348 | 0.06042981147766113 | 0.004901885986328125 | 0.0005614757537841797 | 0.023163795471191406 | 0.23257112503051758 | 0.00020432472229003906 | 0.255939245223999 |
No objects!
| 0.00020885467529296875 | 0.0025529861450195312 | 0.16269207000732422 | 0.06120753288269043 | 0.00811457633972168 | 0.0005786418914794922 | 0.024348020553588867 | 0.23662495613098145 | 0.000244140625 | 0.2612171173095703 |
No objects!
