using cuda:0 device.
0.347339391708374 0.3284005202067374 0.018938871501636645 0.9454744496197607
0.3357565402984619 0.3283898069437934 0.007366733354668531 0.9780593005035134
0.33681321144104004 0.32842194673262537 0.00839126470841467 0.9750862958358639
0.3440577983856201 0.3353266534446894 0.00873114494093069 0.9746230285088763
0.34980201721191406 0.3422260035252814 0.007576013686632688 0.9783419954321102
0.3456909656524658 0.3353480799705774 0.010342885681888403 0.9700805438685186
0.3502206802368164 0.3422215396657214 0.00799914057109502 0.9771597137962097
0.3586091995239258 0.3491155331148414 0.00949366640908439 0.9735264281516264
0.3488740921020508 0.3353025486030654 0.013571543498985372 0.9610990216636222
0.3415067195892334 0.33529272811203337 0.0062139914772000315 0.9818041897252439
0.3458576202392578 0.33529987028732944 0.010557749951928375 0.9694737101798575
0.3545374870300293 0.34906910897541743 0.0054683780546118665 0.9845760229745503
0.34076523780822754 0.3353114763221854 0.005453761486042152 0.9839955462560669
0.3399977684020996 0.3352954064277694 0.004702361974330216 0.9861694328276621
0.34055280685424805 0.3352784437614414 0.005274363092806655 0.984512348785121
0.3504796028137207 0.3421715444386494 0.008308058375071314 0.976295172933396
0.3325164318084717 0.3284076623820334 0.004108769426438286 0.9876434093674958
0.3270268440246582 0.3215065267576174 0.005520317267040831 0.9831196815554855
0.33318567276000977 0.3283996274348254 0.0047860453251843404 0.985635500813891
0.3406221866607666 0.3352838003929134 0.005338386267853212 0.9843275438978676
0.3316080570220947 0.32840498406629737 0.003203072955797359 0.9903407866969169
0.3377087116241455 0.3352882642524734 0.0024204473716721298 0.9928327363542638
0.3274116516113281 0.3215449159498334 0.005866735661494704 0.9820814695120895
0.3368961811065674 0.33529362088394543 0.0016025602226219515 0.9952431629905741
0.3314948081970215 0.3283924852595294 0.0031023229374920747 0.9906414131962868
0.3369169235229492 0.3352596955512894 0.0016572279716597915 0.9950811970074667
0.3277778625488281 0.3283790936808494 0.0006012311320212627 0.9981657360038105
0.33104729652404785 0.3284014129786494 0.002645883545398464 0.9920075361642282
0.3275594711303711 0.3215342026868894 0.006025268443481668 0.9816055740269419
0.3439216613769531 0.33529987028732944 0.008621791089623687 0.9749309448695241
0.34093523025512695 0.3353186184974814 0.005616611757645551 0.9835258686717634
0.3473703861236572 0.3353275462166014 0.012042839907055847 0.9653314145703576
0.33110761642456055 0.3283978418910014 0.0027097745335591394 0.9918160308034577
0.3387141227722168 0.3352954064277694 0.0034187163444474034 0.9899067794502727
0.3328368663787842 0.3284201611888014 0.0044167051899827725 0.986730120259706
0.33278799057006836 0.3284353383113054 0.004352652258762968 0.9869206450289663
0.3335459232330322 0.3215315243711534 0.012014398861878828 0.9639797760217715
0.32105469703674316 0.3146419947815934 0.0064127022551497825 0.9800261378689131
0.32074451446533203 0.3146357453782094 0.006108769087122656 0.9809544082232997
0.31805992126464844 0.31459646341408143 0.003463457850567009 0.9891106750048989
0.3236274719238281 0.3214877785474654 0.002139693376362717 0.993388406232502
0.3495638370513916 0.34219118542071336 0.00737265163067824 0.9789089978732716
0.3411531448364258 0.3353052269188014 0.005847917917624401 0.9828583789827635
0.3396883010864258 0.3353302245323374 0.004358076554088375 0.9871703660675097
0.3333261013031006 0.32842194673262537 0.0049041545704752165 0.9852872170787017
0.33220434188842773 0.3284005202067374 0.003803821681690356 0.9885497532631049
0.3323326110839844 0.3283933780314414 0.003939233052542956 0.9881467153052053
0.3341982364654541 0.3284121262415934 0.005786110223860719 0.9826865925893095
0.33469176292419434 0.3284290889079214 0.006262674016272951 0.9812882338018836
0.3415663242340088 0.32841569732924136 0.013150626904767426 0.9614990531216483
0.33666276931762695 0.3284603359248414 0.008202433392785535 0.9756360544131124
0.3413066864013672 0.3352989775154174 0.006007708885949814 0.9823979162280903
0.34534645080566406 0.3353239751289534 0.010022475676710663 0.9709784894174268
0.33653855323791504 0.3284549792933694 0.008083573944545619 0.9759802439667857
0.3422682285308838 0.3353480799705774 0.006920148560306372 0.9797815047280033
0.347308874130249 0.34221439749042537 0.005094476639823653 0.9853315678944814
0.34130406379699707 0.3353498655144014 0.005954198282595691 0.9825545637624251
0.34526515007019043 0.3422081480870414 0.0030570019831490103 0.991145929490632
0.33362841606140137 0.32842194673262537 0.005206469328775998 0.9843944068366832
0.3235666751861572 0.3214761725126094 0.0020905026735478227 0.9935391904239054
0.34002113342285156 0.3352588027793774 0.004762330643474144 0.9859940157379815
0.3330247402191162 0.3283951635752654 0.00462957664385083 0.9860984002545734
0.3518075942993164 0.3490530390810014 0.0027545552183150246 0.9921702792578961
0.3458867073059082 0.34218047215776937 0.0037062351481388367 0.9892848291944883
0.34367990493774414 0.3421536890004094 0.0015262159373347628 0.9955591935536318
0.3440983295440674 0.3421706516667374 0.001927677877330003 0.9943978865579377
0.34361743927001953 0.3353016558311534 0.008315783438866131 0.9757992974497098
0.3397538661956787 0.3352954064277694 0.004458459767909317 0.9868773832720964
0.31601929664611816 0.3146223537995294 0.0013969428465887557 0.9955795647246406
0.31762266159057617 0.3146205682557054 0.0030020933348707812 0.9905482394743592
0.3225846290588379 0.3146464586411534 0.007938170417684465 0.975391975616307
0.326474666595459 0.3215350954588014 0.004939571136657606 0.9848699711124039
0.31711864471435547 0.3146402092377694 0.0024784354765860495 0.9921845166851716
0.32062482833862305 0.3146446730973294 0.005980155241293639 0.9813484337058958
0.32665109634399414 0.3215520581251294 0.00509903821886476 0.9843899552888842
0.3186371326446533 0.3146723490266014 0.003964783618051915 0.9875570571918451
0.32647109031677246 0.3215609858442494 0.004910104472523047 0.9849600634844611
0.32744264602661133 0.3215636641599854 0.005878981866625943 0.982045766066317
0.32428717613220215 0.3215467014936574 0.0027404746385447654 0.9915492352450361
